i,|B_i|/n
1,1.000000000000000020816681711721685132943093776702880859375
2,0.367906999999999999653721438619413675041869282722473144531
3,0.205387999999999979004045025376967714692000299692153930664
4,0.136311999999999978322451354983968485612422227859497070312
5,0.099582999999999998450884997058807357461773790419101715088
6,0.077035000000000010368303438035297858732519671320915222168
7,0.062314000000000000032557290197132715547922998666763305664
8,0.051851000000000002122801934234530563117004930973052978516
9,0.043996000000000003637631862396517590241273865103721618652
10,0.037972000000000001682532585478568876169447321444749832153
11,0.033396000000000003482027166601397993872524239122867584229
12,0.029632999999999999022216173871768774006341118365526199341
13,0.026558999999999997621838096484303548550087725743651390076
14,0.023976999999999997609505947293584426915913354605436325073
15,0.021806999999999999751169529882410813570459140464663505554
16,0.019961999999999999628194982670414958647597813978791236877
17,0.018377999999999999208594864130716928229958284646272659302
18,0.016991000000000000460381732736436788400169461965560913086
19,0.015812000000000000398325469830318468211771687492728233337
20,0.014748000000000000082249311528226343170899781398475170135
21,0.013820000000000001513377097250856451182698947377502918243
22,0.012996000000000000593517422708966790878548636101186275482
23,0.012226999999999999994100205458202879071905044838786125183
24,0.011556999999999999632666232429745178933444549329578876495
25,0.010971000000000000499864039049668917868984863162040710449
26,0.010420000000000000184925859347817578282047179527580738068
27,0.009917000000000000088044155299726867269782815128564834595
28,0.009431999999999998802384208740345883370537194423377513885
29,0.008991999999999999626976339428541251663773437030613422394
30,0.008576999999999999365176209242811466992861824110150337219
31,0.008253000000000000434393840342828241318784421309828758240
32,0.007913000000000000301548716552524354028719244524836540222
33,0.007619999999999999888114672608185884428166900761425495148
34,0.007310999999999999966683768282127431348271784372627735138
35,0.007014000000000000099766982869509135412044997792690992355
36,0.006783999999999999760773826407156406048670760355889797211
37,0.006557999999999999722296358667383842089293466415256261826
38,0.006311999999999999875306341823311129246576456353068351746
39,0.006108999999999999447211716102623668689375335816293954849
40,0.005913999999999999620148467827096538940168102271854877472
41,0.005723000000000000093600908274149574594957812223583459854
42,0.005544000000000000621567467634642767393415851984173059464
43,0.005368999999999999755983821209115447459225833881646394730
44,0.005206999999999999443559689504823495553864631801843643188
45,0.005046000000000000476813900862627093601986416615545749664
46,0.004908000000000000273418006985215455983961874153465032578
47,0.004768999999999999571376717300008607480776845477521419525
48,0.004617999999999999661854255955661940902245987672358751297
49,0.004492000000000000360005428245990799496212275698781013489
50,0.004359999999999999760350120198149070915860647801309823990
51,0.004252999999999999768368445784982867508006165735423564911
52,0.004138000000000000022388341180956672360480297356843948364
53,0.004045000000000000235178630042520708798292616847902536392
54,0.003933999999999999942681266906774339986441191285848617554
55,0.003826999999999999950699592493608136578586709219962358475
56,0.003735000000000000238618803535817214367398264585062861443
57,0.003659000000000000034534874959746275635552592575550079346
58,0.003572000000000000274582223278030390645199076971039175987
59,0.003490000000000000043241235245239373341519240057095885277
60,0.003401000000000000133030739202233405649167252704501152039
61,0.003332000000000000031332792263527586840154981473460793495
62,0.003265999999999999731505138239606722549979167524725198746
63,0.003203999999999999732193172938266023663800297072157263756
64,0.003133999999999999978882777446065333037950040306895971298
65,0.003079999999999999733569242335584625891442556167021393776
66,0.003014000000000000280774535565964100669589242897927761078
67,0.002948999999999999632559330095538108196251414483413100243
68,0.002884999999999999906505994060057496142235322622582316399
69,0.002838999999999999838707362767586950269560475135222077370
70,0.002792999999999999770908731475116404396885627647861838341
71,0.002733999999999999996983532715710829563704464817419648170
72,0.002679000000000000100057549051735250600358995143324136734
73,0.002633000000000000032258917759264704727684147655963897705
74,0.002596999999999999868716561018944233296679158229380846024
75,0.002554000000000000026304696268408811477002018364146351814
76,0.002507000000000000306893616422443393787489185342565178871
77,0.002465999999999999767706648778897715601488016545772552490
78,0.002441000000000000007065962398522529497313371393829584122
79,0.002398000000000000164654097647987107677636231528595089912
80,0.002352000000000000096855466355516561804961384041234850883
81,0.002308999999999999830927127977830970451122993836179375648
82,0.002282000000000000343545070863315871179111127275973558426
83,0.002249999999999999633485455591275226083780580665916204453
84,0.002212000000000000166718201743965011019099620170891284943
85,0.002174999999999999928046922822999498237095394870266318321
86,0.002139999999999999839633488263324068157089641317725181580
87,0.002107999999999999976606820245583762130081595387309789658
88,0.002075000000000000038451230047198414752074313582852482796
89,0.002052000000000000004551914400963141815736889839172363281
90,0.002011000000000000312397894011717802698058221722021698952
91,0.001990000000000000005239949099622442929558019386604428291
92,0.001963000000000000094341418357957174123384902486577630043
93,0.001936999999999999835055336169786777134049771120771765709
94,0.001913000000000000149543571970056632380874361842870712280
95,0.001889999999999999903886019510246274677456312929280102253
96,0.001866999999999999869986703864011001741118889185599982738
97,0.001835999999999999870330721213340652298029453959316015244
98,0.001804000000000000007304053195600346271021408028900623322
99,0.001784999999999999850403952644795069204519677441567182541
100,0.001757999999999999939505421903129800398346560541540384293
101,0.001737000000000000055863950618184610164007608545944094658
102,0.001721000000000000124350616609314457150503585580736398697
103,0.001695999999999999940193456601789101512167690088972449303
104,0.001664999999999999940537473951118752069078254862688481808
105,0.001645999999999999995395610213888559769657149445265531540
106,0.001624000000000000036625216748298328184318961575627326965
107,0.001600000000000000139355215734993098664062927127815783024
108,0.001582000000000000057584037364832862948560432414524257183
109,0.001566999999999999989441388723032666518975020153447985649
110,0.001546999999999999969170602805157432868554678861983120441
111,0.001534999999999999914656483891717275724886349053122103214
112,0.001515999999999999969514620154487083425465243635699152946
113,0.001503000000000000051629815873976969697878303122706711292
114,0.001487000000000000120116481865106816684374280157499015331
115,0.001473999999999999990473440771021618189706714474596083164
116,0.001454999999999999833573340220216341123204983887262642384
117,0.001441999999999999915688535939706227395618043374270200729
118,0.001427000000000000059304124111481115733113256283104419708
119,0.001413999999999999929661083017395917238445690600201487541
120,0.001394999999999999984519219280165724939024585182778537273
121,0.001374999999999999964248433362290491288604243891313672066
122,0.001355000000000000155735884257990342405264527769759297371
123,0.001333999999999999848577939345894982636764325434342026711
124,0.001322000000000000005822057246029910260176620795391499996
125,0.001311000000000000026436860513234794467507526860572397709
126,0.001297000000000000033423134052079639388921350473538041115
127,0.001278000000000000088281270314849447089500245056115090847
128,0.001266999999999999897137836768479246529750525951385498047
129,0.001252999999999999904124110307324091451164349564351141453
130,0.001242000000000000136497150388104060425575880799442529678
131,0.001224999999999999918096657385013781293991996790282428265
132,0.001215000000000000013840382832863706852322138729505240917
133,0.001199000000000000082327048823993553838818115764297544956
134,0.001182000000000000075684792634478359474314856925047934055
135,0.001170999999999999884541359088108158914565137820318341255
136,0.001159999999999999905156162355313043121896043885499238968
137,0.001150000000000000000899887803162968680226185824722051620
138,0.001142000000000000035143220798727892173474174342118203640
139,0.001131000000000000055758024065932776380805080407299101353
140,0.001116999999999999850986060791202536535138278850354254246
141,0.001108000000000000021858708419697503444467656663618981838
142,0.001095000000000000103973904139187389716880716150626540184
143,0.001077999999999999885573411136097110585296832141466438770
144,0.001069999999999999919816744131662034078544820658862590790
145,0.001057000000000000001931939851151920350957880145870149136
146,0.001043000000000000008918213389996765272371703758835792542
