n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
1,3,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2,3,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3,3,2.784500,0.025200,0.267000,0.215500,0.215500,0.928167,0.008400,0.029667,0.071833,0.071833
4,3,3.528100,0.132900,0.789000,0.471900,0.466900,0.882025,0.033225,0.049312,0.117975,0.116725
5,3,4.311200,0.254600,1.472200,0.688800,0.669100,0.862240,0.050920,0.058888,0.137760,0.133820
6,3,5.096800,0.382700,2.377000,0.903200,0.859700,0.849467,0.063783,0.066028,0.150533,0.143283
7,3,5.866000,0.512700,3.545900,1.134000,1.056900,0.838000,0.073243,0.072365,0.162000,0.150986
8,3,6.662900,0.632700,4.863700,1.337100,1.238500,0.832863,0.079087,0.075995,0.167137,0.154812
9,3,7.465500,0.753300,6.331300,1.534500,1.406000,0.829500,0.083700,0.078164,0.170500,0.156222
10,3,8.258200,0.856100,8.036000,1.741800,1.581300,0.825820,0.085610,0.080360,0.174180,0.158130
11,3,9.044500,0.973200,10.033500,1.955500,1.765400,0.822227,0.088473,0.082921,0.177773,0.160491
12,3,9.836300,1.082400,12.164800,2.163700,1.951000,0.819692,0.090200,0.084478,0.180308,0.162583
13,3,10.617000,1.199400,14.601900,2.383000,2.140400,0.816692,0.092262,0.086402,0.183308,0.164646
14,3,11.430600,1.305900,17.012500,2.569400,2.301800,0.816471,0.093279,0.086798,0.183529,0.164414
15,3,12.216600,1.415500,19.885700,2.783400,2.477600,0.814440,0.094367,0.088381,0.185560,0.165173
16,3,13.016900,1.529900,22.795600,2.983100,2.655200,0.813556,0.095619,0.089045,0.186444,0.165950
17,3,13.795100,1.650100,26.081100,3.204900,2.846500,0.811476,0.097065,0.090246,0.188524,0.167441
18,3,14.621800,1.757700,29.181300,3.378200,3.000900,0.812322,0.097650,0.090066,0.187678,0.166717
19,3,15.384500,1.866000,33.118400,3.615500,3.201600,0.809711,0.098211,0.091741,0.190289,0.168505
20,3,16.187700,1.964300,36.766800,3.812300,3.377700,0.809385,0.098215,0.091917,0.190615,0.168885
21,3,16.970800,2.072100,40.962700,4.029200,3.552800,0.808133,0.098671,0.092886,0.191867,0.169181
22,3,17.761000,2.180200,45.238800,4.239000,3.743100,0.807318,0.099100,0.093469,0.192682,0.170141
23,3,18.586600,2.287500,49.139700,4.413400,3.896900,0.808113,0.099457,0.092892,0.191887,0.169430
24,3,19.347200,2.391800,54.227900,4.652800,4.093600,0.806133,0.099658,0.094146,0.193867,0.170567
25,3,20.154500,2.531000,58.880500,4.845500,4.271600,0.806180,0.101240,0.094209,0.193820,0.170864
26,3,20.932700,2.618000,64.299400,5.067300,4.455700,0.805104,0.100692,0.095117,0.194896,0.171373
27,3,21.751700,2.733200,69.055200,5.248300,4.613900,0.805619,0.101230,0.094726,0.194381,0.170885
28,3,22.509800,2.845100,75.016700,5.490200,4.826700,0.803921,0.101611,0.095685,0.196079,0.172382
29,3,23.350500,2.914000,79.934500,5.649500,4.957500,0.805190,0.100483,0.095047,0.194810,0.170948
30,3,24.115200,3.056200,86.476400,5.884800,5.151700,0.803840,0.101873,0.096085,0.196160,0.171723
31,3,24.912500,3.163600,92.231200,6.087500,5.334200,0.803629,0.102052,0.095974,0.196371,0.172071
32,3,25.695200,3.269000,98.838600,6.304800,5.519800,0.802975,0.102156,0.096522,0.197025,0.172494
33,3,26.499900,3.392100,105.064900,6.500100,5.696900,0.803027,0.102791,0.096478,0.196973,0.172633
34,3,27.315900,3.465600,111.538700,6.684100,5.841800,0.803409,0.101929,0.096487,0.196591,0.171818
35,3,28.068000,3.608700,119.108900,6.932000,6.062200,0.801943,0.103106,0.097232,0.198057,0.173206
36,3,28.915600,3.702000,125.134000,7.084400,6.217300,0.803211,0.102833,0.096554,0.196789,0.172703
37,3,29.698500,3.806400,132.680400,7.301500,6.368500,0.802662,0.102876,0.096918,0.197338,0.172122
38,3,30.488900,3.903600,140.332100,7.511100,6.568200,0.802339,0.102726,0.097183,0.197661,0.172847
39,3,31.275900,4.041100,148.170500,7.724100,6.754600,0.801946,0.103618,0.097417,0.198054,0.173195
40,3,32.067400,4.140800,156.283500,7.932600,6.930900,0.801685,0.103520,0.097677,0.198315,0.173273
41,3,32.844400,4.262300,164.795600,8.155600,7.122200,0.801083,0.103959,0.098034,0.198917,0.173712
42,3,33.660800,4.346600,172.424000,8.339200,7.294100,0.801448,0.103490,0.097746,0.198552,0.173669
43,3,34.425500,4.450000,181.826400,8.574500,7.464400,0.800593,0.103488,0.098338,0.199407,0.173591
44,3,35.237600,4.583400,190.046100,8.762400,7.631200,0.800855,0.104168,0.098164,0.199145,0.173436
45,3,36.025600,4.678000,199.424800,8.974400,7.823400,0.800569,0.103956,0.098481,0.199431,0.173853
46,3,36.832800,4.786500,207.934200,9.167200,7.996400,0.800713,0.104054,0.098268,0.199287,0.173835
47,3,37.637100,4.907800,217.280700,9.362900,8.172900,0.800789,0.104421,0.098362,0.199211,0.173891
48,3,38.431600,5.014500,226.465000,9.568400,8.340200,0.800658,0.104469,0.098292,0.199342,0.173754
49,3,39.201000,5.138600,237.209500,9.799000,8.543300,0.800020,0.104869,0.098796,0.199980,0.174353
50,3,39.997300,5.216700,247.421900,10.002700,8.710900,0.799946,0.104334,0.098969,0.200054,0.174218
