i,|B_i|/n
1,1.000000000000000020816681711721685132943093776702880859375
2,0.368043000000000026811913800273146080144215375185012817383
3,0.205536000000000005369718558689839937869692221283912658691
4,0.136514500000000022546936540024375972279813140630722045898
5,0.099476999999999996416449876690535347734112292528152465820
6,0.077030500000000007277366209645919070680974982678890228271
7,0.062099000000000002938080334580206454120343551039695739746
8,0.051552000000000003799693198969222862615424674004316329956
9,0.043818500000000000678401779197201904025860130786895751953
10,0.037948000000000003267570242160289240018755663186311721802
11,0.033339500000000001566583668344279089978954289108514785767
12,0.029639499999999999722312404859536627554916776716709136963
13,0.026581499999999999523997082362392063714651158079504966736
14,0.024093000000000001242263236722607189221889711916446685791
15,0.021999000000000000623395432497453327869152417406439781189
16,0.020150999999999997310418803353471162154164630919694900513
17,0.018609000000000000893266363655165207546815508976578712463
18,0.017248499999999999265530223335751713875652058050036430359
19,0.016047499999999998397670619709742823033593595027923583984
20,0.014994000000000000776272275626599395081939292140305042267
21,0.014033999999999999803274551568588179861762910149991512299
22,0.013195500000000000970419057610971691474333056248724460602
23,0.012449000000000000579094931729695616695607895962893962860
24,0.011759999999999999213727910896132300422323169186711311340
25,0.011150999999999998776476980988370257819042308256030082703
26,0.010595999999999999855089007072539430964752682484686374664
27,0.010096499999999998962367346588830940845582517795264720917
28,0.009629499999999999876060946535361040332645643502473831177
29,0.009199000000000001202619601126109216693294001743197441101
30,0.008810000000000000353072605874249489943395019508898258209
31,0.008431500000000000504137530332737782146068639121949672699
32,0.008097000000000000572743241722406537519418634474277496338
33,0.007790499999999999356826985152935094447457231581211090088
34,0.007472000000000000627495451432924511436795000918209552765
35,0.007199999999999999674186405146381062536420358810573816299
36,0.006937999999999999472166580666288027146038075443357229233
37,0.006709499999999999881141517915628114110404567327350378036
38,0.006485000000000000590632143887548366478768002707511186600
39,0.006259499999999999954444426797373068893648451194167137146
40,0.006067499999999999929251471436630893663277674932032823563
41,0.005866500000000000498447637331533854876397526822984218597
42,0.005685499999999999182090457822136286836212093476206064224
43,0.005529499999999999320439859201714583036846306640654802322
44,0.005361000000000000001985391018255455719554447568953037262
45,0.005212999999999999894333222588693743659860047046095132828
46,0.005076000000000000189582724519077316926995990797877311707
47,0.004943999999999999589927416471235588346644362900406122208
48,0.004802999999999999584661229679038996209783363156020641327
49,0.004669499999999999931103722428105129438336007297039031982
50,0.004539500000000000328739205995853822628305351827293634415
51,0.004426000000000000483694247849220104740197712089866399765
52,0.004320499999999999545614772639146039523438957985490560532
53,0.004218999999999999755083933405952478778999648056924343109
54,0.004122499999999999916681231448833955255395267158746719360
55,0.004024999999999999579633133683920220846630400046706199646
56,0.003932500000000000041746120449381862727022962644696235657
57,0.003848999999999999909469985959198368163924897089600563049
58,0.003767499999999999927451695830304956302825303282588720322
59,0.003685999999999999945433405701411544441725709475576877594
60,0.003606999999999999939479184210555651191043580183759331703
61,0.003537999999999999837781237271849832382031308952718973160
62,0.003456499999999999855762947142956420520931715145707130432
63,0.003391999999999999880386913203578203024335380177944898605
64,0.003329999999999999881074947902237504138156509725376963615
65,0.003271000000000000107149749142831929304975346894934773445
66,0.003207000000000000381096413107351317250959255034103989601
67,0.003145499999999999784074198455607884739038127008825540543
68,0.003085499999999999935020077515557268554857728304341435432
69,0.003023499999999999935708112214216569668678857851773500443
70,0.002959499999999999786138302551585788080501515651121735573
71,0.002910499999999999916469378344330287688990210881456732750
72,0.002854999999999999770220696776457103283064498100429773331
73,0.002803499999999999924487703931164084281135728815570473671
74,0.002757499999999999856689072638693538408460881328210234642
75,0.002715999999999999915212354345550593848201970104128122330
76,0.002667500000000000294866128042192698899270908441394567490
77,0.002634000000000000107387839939909746078683383530005812645
78,0.002585500000000000063525140009401681595591071527451276779
79,0.002546000000000000272306266077548819737330632051452994347
80,0.002499499999999999955184936881180668422075541457161307335
81,0.002454499999999999962515227769355163900399929843842983246
82,0.002414499999999999921973655933604696599559247260913252831
83,0.002381499999999999983818065735219349221551965456455945969
84,0.002342500000000000018405416080113923271710518747568130493
85,0.002305499999999999779734137159148410489706293446943163872
86,0.002273499999999999916707469141408104462698247516527771950
87,0.002240499999999999978551878943022757084690965712070465088
88,0.002199000000000000037075160649879812524432054487988352776
89,0.002170500000000000225241483450822066458840708946809172630
90,0.002143000000000000065020254805259192210087348939850926399
91,0.002118999999999999955992016978378877922750689322128891945
92,0.002086000000000000017836426779993530544743407517671585083
93,0.002056500000000000130873827400290743128152826102450489998
94,0.002019000000000000066396324202577794437729608034715056419
95,0.001985499999999999878918036100294841617142083123326301575
96,0.001957499999999999892890583177984531459969730349257588387
97,0.001935000000000000108313965435646863966212549712508916855
98,0.001907999999999999773898961066831425625878182472661137581
99,0.001884500000000000125951657957423801548202391131781041622
100,0.001861500000000000092052342311188528611864967388100922108
101,0.001838500000000000058153026664953255675527543644420802593
102,0.001810000000000000034561112652320424842855572933331131935
103,0.001791499999999999915225473191837668451853460283018648624
104,0.001770500000000000031584001906892478217514508287422358990
