n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
59,2,37.486000,7.520000,796.842200,21.514000,17.192800,0.635356,0.127458,0.228912,0.364644,0.291403
60,2,38.127600,7.640000,823.798300,21.872400,17.484300,0.635460,0.127333,0.228833,0.364540,0.291405
61,2,38.749500,7.788500,852.013100,22.250500,17.783800,0.635238,0.127680,0.228974,0.364762,0.291538
62,2,39.363500,7.943800,881.427500,22.636500,18.083900,0.634895,0.128126,0.229300,0.365105,0.291676
63,2,39.989300,8.048600,910.284500,23.010700,18.395800,0.634751,0.127756,0.229349,0.365249,0.291997
64,2,40.591500,8.143300,941.541000,23.408500,18.701000,0.634242,0.127239,0.229868,0.365758,0.292203
65,2,41.265700,8.300900,968.984900,23.734300,18.979100,0.634857,0.127706,0.229346,0.365143,0.291986
66,2,41.840600,8.401900,1002.712900,24.159400,19.254700,0.633948,0.127302,0.230191,0.366052,0.291738
67,2,42.532400,8.536700,1029.559700,24.467600,19.530900,0.634812,0.127413,0.229352,0.365188,0.291506
68,2,43.170500,8.716200,1060.259600,24.829500,19.843800,0.634860,0.128179,0.229295,0.365140,0.291821
69,2,43.790900,8.802000,1092.678700,25.209100,20.112800,0.634651,0.127565,0.229506,0.365349,0.291490
70,2,44.435600,8.962500,1123.953300,25.564400,20.442800,0.634794,0.128036,0.229378,0.365206,0.292040
71,2,45.054200,9.106500,1158.614900,25.945800,20.736500,0.634566,0.128261,0.229838,0.365434,0.292063
72,2,45.709700,9.187900,1190.222900,26.290300,20.987200,0.634857,0.127610,0.229595,0.365143,0.291489
73,2,46.322300,9.309700,1223.932800,26.677700,21.280000,0.634552,0.127530,0.229674,0.365448,0.291507
74,2,46.964000,9.468500,1257.703100,27.036000,21.551100,0.634649,0.127953,0.229676,0.365351,0.291231
75,2,47.625600,9.584600,1290.034600,27.374400,21.864100,0.635008,0.127795,0.229339,0.364992,0.291521
76,2,48.229200,9.736800,1327.050800,27.770800,22.163000,0.634595,0.128116,0.229753,0.365405,0.291618
77,2,48.819000,9.851100,1365.263300,28.181000,22.474900,0.634013,0.127936,0.230269,0.365987,0.291882
78,2,49.484200,9.976200,1398.960400,28.515800,22.731400,0.634413,0.127900,0.229941,0.365587,0.291428
79,2,50.113400,10.119900,1435.526700,28.886600,23.025200,0.634347,0.128100,0.230015,0.365653,0.291458
80,2,50.712500,10.266100,1474.023200,29.287500,23.397400,0.633906,0.128326,0.230316,0.366094,0.292468
81,2,51.403700,10.375800,1507.657800,29.596300,23.615700,0.634614,0.128096,0.229791,0.365386,0.291552
82,2,52.057900,10.488800,1542.899200,29.942100,23.909000,0.634852,0.127912,0.229462,0.365148,0.291573
83,2,52.672800,10.654700,1582.954300,30.327200,24.186200,0.634612,0.128370,0.229780,0.365388,0.291400
84,2,53.263600,10.783500,1623.989500,30.736400,24.536100,0.634090,0.128375,0.230157,0.365910,0.292096
85,2,53.942100,10.898800,1659.932000,31.057900,24.761900,0.634613,0.128221,0.229748,0.365387,0.291316
86,2,54.554300,11.019100,1701.352500,31.445700,25.086700,0.634352,0.128129,0.230037,0.365648,0.291706
87,2,55.157800,11.154500,1743.667600,31.842200,25.418700,0.633998,0.128213,0.230370,0.366002,0.292169
88,2,55.770800,11.280100,1785.387000,32.229200,25.684900,0.633759,0.128183,0.230551,0.366241,0.291874
89,2,56.473300,11.459900,1820.987500,32.526700,25.957800,0.634531,0.128763,0.229894,0.365469,0.291661
90,2,57.098100,11.512100,1862.909800,32.901900,26.244300,0.634423,0.127912,0.229989,0.365577,0.291603
91,2,57.695600,11.658900,1907.726300,33.304400,26.542500,0.634018,0.128120,0.230374,0.365982,0.291676
92,2,58.323900,11.801100,1950.941200,33.676100,26.847400,0.633955,0.128273,0.230499,0.366045,0.291820
93,2,59.017700,11.934700,1989.135200,33.982300,27.105200,0.634599,0.128330,0.229984,0.365401,0.291454
94,2,59.664900,12.066500,2030.205800,34.335100,27.387300,0.634733,0.128367,0.229765,0.365267,0.291354
95,2,60.227100,12.147700,2078.946300,34.772900,27.695100,0.633969,0.127871,0.230354,0.366031,0.291527
96,2,60.865600,12.328600,2123.321300,35.134400,28.020500,0.634017,0.128423,0.230395,0.365983,0.291880
97,2,61.484800,12.466000,2169.282600,35.515200,28.293400,0.633864,0.128515,0.230554,0.366136,0.291685
98,2,62.152400,12.579700,2210.314400,35.847600,28.549400,0.634208,0.128364,0.230145,0.365792,0.291320
99,2,62.821700,12.731700,2254.743100,36.178300,28.864500,0.634563,0.128603,0.230052,0.365437,0.291561
100,2,63.404600,12.851900,2303.761400,36.595400,29.166500,0.634046,0.128519,0.230376,0.365954,0.291665
101,2,64.099500,12.969600,2345.459400,36.900500,29.434300,0.634649,0.128412,0.229924,0.365351,0.291429
102,2,64.703000,13.141200,2394.776900,37.297000,29.733900,0.634343,0.128835,0.230178,0.365657,0.291509
103,2,65.291900,13.279900,2444.434600,37.708100,30.056200,0.633902,0.128931,0.230411,0.366098,0.291808
104,2,66.002500,13.380600,2486.917300,37.997500,30.300700,0.634639,0.128660,0.229929,0.365361,0.291353
