n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
250,2,158.224400,32.446700,14477.920200,91.775600,73.061500,0.632898,0.129787,0.231647,0.367102,0.292246
251,2,158.887100,32.425000,14588.683000,92.112900,73.287100,0.633016,0.129183,0.231563,0.366984,0.291980
252,2,159.541100,32.524300,14698.939300,92.458900,73.508500,0.633100,0.129065,0.231465,0.366900,0.291700
253,2,160.167300,32.753500,14820.065700,92.832700,73.892000,0.633072,0.129460,0.231531,0.366928,0.292063
254,2,160.675000,32.860100,14961.169400,93.325000,74.235300,0.632579,0.129370,0.231899,0.367421,0.292265
255,2,161.319900,33.010300,15073.860600,93.680100,74.554400,0.632627,0.129452,0.231816,0.367373,0.292370
256,2,161.963300,33.121900,15195.227400,94.036700,74.787500,0.632669,0.129382,0.231861,0.367331,0.292139
257,2,162.802400,33.266100,15273.078900,94.197600,74.972800,0.633472,0.129440,0.231239,0.366528,0.291723
258,2,163.347700,33.449700,15408.052500,94.652300,75.336700,0.633131,0.129650,0.231477,0.366869,0.292003
259,2,163.831500,33.505200,15561.023900,95.168500,75.676100,0.632554,0.129364,0.231974,0.367446,0.292186
260,2,164.521200,33.700500,15664.208600,95.478800,75.979800,0.632774,0.129617,0.231719,0.367226,0.292230
261,2,165.191800,33.748000,15780.931800,95.808200,76.206000,0.632919,0.129303,0.231660,0.367081,0.291977
262,2,165.728800,33.796700,15916.190700,96.271200,76.568600,0.632553,0.128995,0.231866,0.367447,0.292247
263,2,166.467000,34.028600,16017.973900,96.533000,76.797800,0.632954,0.129386,0.231577,0.367046,0.292007
264,2,167.020800,34.180600,16157.687400,96.979200,77.169700,0.632655,0.129472,0.231831,0.367345,0.292309
265,2,167.625200,34.253000,16290.625700,97.374800,77.456800,0.632548,0.129257,0.231978,0.367452,0.292290
266,2,168.282800,34.405400,16404.044100,97.717200,77.722100,0.632642,0.129344,0.231840,0.367358,0.292188
267,2,168.950000,34.516900,16526.138500,98.050000,77.963400,0.632772,0.129277,0.231819,0.367228,0.291998
268,2,169.602700,34.657100,16640.791300,98.397300,78.279700,0.632846,0.129318,0.231688,0.367154,0.292088
269,2,170.186200,34.859300,16780.233700,98.813800,78.585800,0.632662,0.129588,0.231896,0.367338,0.292141
270,2,170.804700,34.928400,16907.980400,99.195300,78.935800,0.632610,0.129364,0.231934,0.367390,0.292355
271,2,171.462600,34.973200,17021.441100,99.537400,79.097400,0.632703,0.129052,0.231770,0.367297,0.291872
272,2,172.040500,35.224600,17163.836700,99.959500,79.545700,0.632502,0.129502,0.231994,0.367498,0.292447
273,2,172.813600,35.339700,17261.794200,100.186400,79.682100,0.633017,0.129449,0.231612,0.366983,0.291876
274,2,173.470100,35.425100,17379.218500,100.529900,79.942400,0.633103,0.129289,0.231488,0.366897,0.291761
275,2,173.997700,35.541900,17526.999300,101.002300,80.324800,0.632719,0.129243,0.231762,0.367281,0.292090
276,2,174.663800,35.725700,17643.895900,101.336200,80.623700,0.632840,0.129441,0.231620,0.367160,0.292115
277,2,175.307000,35.796900,17777.363600,101.693000,80.875700,0.632877,0.129231,0.231690,0.367123,0.291970
278,2,176.044100,36.006000,17879.859500,101.955900,81.111900,0.633252,0.129518,0.231353,0.366748,0.291769
279,2,176.525600,36.123800,18053.397400,102.474400,81.521500,0.632708,0.129476,0.231927,0.367292,0.292192
280,2,177.157900,36.227800,18177.995300,102.842100,81.813000,0.632707,0.129385,0.231862,0.367293,0.292189
281,2,177.710400,36.375800,18320.776200,103.289600,82.166000,0.632421,0.129451,0.232023,0.367579,0.292406
282,2,178.464600,36.465300,18432.881100,103.535400,82.300800,0.632853,0.129310,0.231790,0.367147,0.291847
283,2,179.105800,36.615500,18559.113900,103.894200,82.590400,0.632883,0.129383,0.231731,0.367117,0.291839
284,2,179.594100,36.818000,18726.622600,104.405900,83.054300,0.632374,0.129641,0.232179,0.367626,0.292445
285,2,180.381000,36.876200,18820.751200,104.619000,83.185800,0.632916,0.129390,0.231711,0.367084,0.291880
286,2,180.950800,37.011000,18971.491600,105.049200,83.603900,0.632695,0.129409,0.231937,0.367305,0.292321
287,2,181.644700,37.149100,19081.752300,105.355300,83.808500,0.632908,0.129439,0.231662,0.367092,0.292016
288,2,182.251400,37.226700,19224.772800,105.748600,84.097900,0.632817,0.129259,0.231780,0.367183,0.292007
289,2,182.838200,37.402300,19366.188600,106.161800,84.475500,0.632658,0.129420,0.231872,0.367342,0.292303
290,2,183.525700,37.534900,19483.410000,106.474300,84.717000,0.632847,0.129431,0.231670,0.367153,0.292128
291,2,184.136400,37.761600,19635.840700,106.863600,84.970200,0.632771,0.129765,0.231880,0.367229,0.291994
292,2,184.753600,37.840300,19767.077500,107.246400,85.320800,0.632718,0.129590,0.231834,0.367282,0.292195
293,2,185.299400,37.969200,19928.065400,107.700600,85.650700,0.632421,0.129588,0.232129,0.367579,0.292323
294,2,186.050700,38.032000,20034.508100,107.949300,85.801100,0.632826,0.129361,0.231784,0.367174,0.291840
295,2,186.759600,38.155500,20147.024700,108.240400,86.089300,0.633083,0.129341,0.231508,0.366917,0.291828
296,2,187.336700,38.284600,20298.966400,108.663300,86.398100,0.632894,0.129340,0.231681,0.367106,0.291885
297,2,187.937500,38.496300,20452.745600,109.062500,86.732500,0.632786,0.129617,0.231867,0.367214,0.292029
298,2,188.569800,38.643900,20586.455400,109.430200,87.044100,0.632785,0.129678,0.231819,0.367215,0.292094
299,2,189.123100,38.733100,20740.587600,109.876900,87.389100,0.632519,0.129542,0.231995,0.367481,0.292271
300,2,189.843200,38.843000,20862.037600,110.156800,87.593800,0.632811,0.129477,0.231800,0.367189,0.291979
301,2,190.394800,38.944700,21021.001500,110.605200,88.007700,0.632541,0.129384,0.232017,0.367459,0.292384
302,2,191.003700,39.015500,21163.020300,110.996300,88.247300,0.632463,0.129190,0.232040,0.367537,0.292210
303,2,191.783200,39.258400,21273.502600,111.216800,88.459800,0.632948,0.129566,0.231715,0.367052,0.291947
304,2,192.454300,39.398700,21402.562700,111.545700,88.799900,0.633073,0.129601,0.231589,0.366927,0.292105
305,2,193.004900,39.516800,21565.818400,111.995100,89.098900,0.632803,0.129563,0.231828,0.367197,0.292128
306,2,193.637400,39.602000,21697.189800,112.362600,89.357900,0.632802,0.129418,0.231718,0.367198,0.292019
307,2,194.295600,39.779000,21843.431700,112.704400,89.683800,0.632885,0.129573,0.231763,0.367115,0.292130
308,2,194.875300,39.821600,21993.358000,113.124700,89.969200,0.632712,0.129291,0.231841,0.367288,0.292108
309,2,195.500500,39.983100,22132.547000,113.499500,90.261900,0.632688,0.129395,0.231801,0.367312,0.292110
310,2,196.107900,40.103500,22281.380900,113.892100,90.567300,0.632606,0.129366,0.231856,0.367394,0.292153
311,2,196.700900,40.263300,22443.949800,114.299100,90.919300,0.632479,0.129464,0.232048,0.367521,0.292345
312,2,197.504700,40.403400,22545.874300,114.495300,91.066400,0.633028,0.129498,0.231610,0.366972,0.291879
313,2,197.936500,40.464200,22733.848600,115.063500,91.453800,0.632385,0.129279,0.232051,0.367615,0.292185
314,2,198.673500,40.687700,22869.057600,115.326500,91.728200,0.632718,0.129579,0.231947,0.367282,0.292128
315,2,199.212800,40.793900,23034.354900,115.787200,92.106500,0.632422,0.129504,0.232143,0.367578,0.292402
316,2,199.903400,40.921100,23169.830500,116.096600,92.302500,0.632606,0.129497,0.232032,0.367394,0.292097
317,2,200.529100,40.967200,23306.887400,116.470900,92.625400,0.632584,0.129234,0.231935,0.367416,0.292194
318,2,201.207500,41.182700,23450.577200,116.792500,92.862600,0.632728,0.129505,0.231899,0.367272,0.292021
319,2,201.772300,41.384700,23610.852800,117.227700,93.246600,0.632515,0.129733,0.232023,0.367485,0.292309
320,2,202.360800,41.357900,23772.728700,117.639200,93.507700,0.632378,0.129243,0.232156,0.367623,0.292212
321,2,203.126800,41.568300,23883.246200,117.873200,93.740500,0.632794,0.129496,0.231784,0.367206,0.292026
322,2,203.677400,41.635800,24048.087100,118.322600,94.072600,0.632539,0.129304,0.231936,0.367461,0.292151
323,2,204.339300,41.793900,24201.330500,118.660700,94.347000,0.632629,0.129393,0.231971,0.367371,0.292096
324,2,205.057600,42.034500,24330.148800,118.942400,94.635600,0.632894,0.129736,0.231769,0.367106,0.292085
325,2,205.711600,42.133300,24470.307400,119.288400,94.881000,0.632959,0.129641,0.231672,0.367041,0.291942
326,2,206.311300,42.188300,24625.177100,119.688700,95.233900,0.632857,0.129412,0.231710,0.367143,0.292129
327,2,206.859500,42.439100,24803.421200,120.140500,95.544600,0.632598,0.129783,0.231962,0.367402,0.292185
328,2,207.584400,42.428300,24939.702400,120.415600,95.754500,0.632879,0.129355,0.231816,0.367121,0.291934
329,2,208.166600,42.629600,25094.610300,120.833400,96.147100,0.632725,0.129573,0.231840,0.367275,0.292240
330,2,208.763400,42.744300,25254.920700,121.236600,96.382500,0.632616,0.129528,0.231909,0.367384,0.292068
331,2,209.414400,42.893500,25409.900800,121.585600,96.668800,0.632672,0.129588,0.231925,0.367328,0.292051
332,2,209.986400,42.883400,25578.118100,122.013600,96.946700,0.632489,0.129167,0.232056,0.367511,0.292008
333,2,210.717900,43.140900,25704.895200,122.282100,97.261300,0.632786,0.129552,0.231807,0.367214,0.292076
334,2,211.281800,43.279200,25885.009900,122.718200,97.591200,0.632580,0.129578,0.232036,0.367420,0.292189
335,2,211.890500,43.425500,26038.020700,123.109500,97.941800,0.632509,0.129628,0.232016,0.367491,0.292364
336,2,212.488600,43.449100,26205.865100,123.511400,98.169000,0.632407,0.129313,0.232124,0.367593,0.292170
337,2,213.323200,43.585200,26308.256200,123.676800,98.341200,0.633007,0.129333,0.231650,0.366993,0.291814
338,2,213.863000,43.776900,26486.634800,124.137000,98.788900,0.632731,0.129517,0.231843,0.367269,0.292275
339,2,214.520800,43.875300,26642.575700,124.479200,99.019700,0.632805,0.129426,0.231834,0.367195,0.292094
340,2,215.131100,44.098000,26808.756300,124.868900,99.332500,0.632739,0.129700,0.231910,0.367261,0.292154
341,2,215.797500,44.098200,26951.725700,125.202500,99.530200,0.632837,0.129320,0.231781,0.367163,0.291877
342,2,216.295300,44.204900,27142.988900,125.704700,99.845600,0.632442,0.129254,0.232063,0.367558,0.291946
343,2,217.032700,44.437900,27282.414800,125.967300,100.144200,0.632748,0.129557,0.231897,0.367252,0.291966
344,2,217.603800,44.459300,27443.672200,126.396200,100.422100,0.632569,0.129242,0.231913,0.367431,0.291925
345,2,218.354600,44.681500,27587.141100,126.645400,100.710400,0.632912,0.129512,0.231776,0.367088,0.291914
346,2,218.945500,44.842600,27750.611700,127.054500,101.037800,0.632790,0.129603,0.231804,0.367210,0.292017
347,2,219.436800,44.946500,27945.292400,127.563200,101.465900,0.632383,0.129529,0.232086,0.367617,0.292409
348,2,220.177500,45.022900,28084.301200,127.822500,101.619700,0.632694,0.129376,0.231902,0.367306,0.292011
349,2,220.626600,45.201800,28296.832000,128.373400,102.020500,0.632168,0.129518,0.232320,0.367832,0.292322
350,2,221.412400,45.373100,28427.387000,128.587600,102.261200,0.632607,0.129637,0.232060,0.367393,0.292175
351,2,222.033500,45.450600,28581.065900,128.966500,102.538900,0.632574,0.129489,0.231987,0.367426,0.292134
352,2,222.730800,45.548900,28725.655900,129.269200,102.800400,0.632758,0.129400,0.231838,0.367242,0.292047
353,2,223.240300,45.685100,28923.822300,129.759700,103.164400,0.632409,0.129420,0.232117,0.367591,0.292250
354,2,223.961800,45.847600,29062.815800,130.038200,103.393500,0.632660,0.129513,0.231916,0.367340,0.292072
355,2,224.522300,45.994200,29243.639000,130.477700,103.753400,0.632457,0.129561,0.232046,0.367543,0.292263
356,2,225.239500,46.101500,29386.020300,130.760500,104.000000,0.632695,0.129499,0.231868,0.367305,0.292135
357,2,225.858300,46.257600,29563.846100,131.141700,104.304800,0.632656,0.129573,0.231966,0.367344,0.292170
358,2,226.448800,46.351300,29736.003100,131.551200,104.586100,0.632539,0.129473,0.232015,0.367461,0.292140
359,2,227.199700,46.537300,29877.779700,131.800300,104.849700,0.632868,0.129630,0.231825,0.367132,0.292060
360,2,227.781300,46.598500,30056.120900,132.218700,105.105100,0.632726,0.129440,0.231915,0.367274,0.291959
361,2,228.480100,46.795600,30199.269000,132.519900,105.409500,0.632909,0.129628,0.231730,0.367091,0.291993
362,2,229.026800,46.892000,30392.576000,132.973200,105.689800,0.632671,0.129536,0.231926,0.367329,0.291961
363,2,229.680800,47.032900,30548.940700,133.319200,106.028100,0.632729,0.129567,0.231837,0.367271,0.292088
364,2,230.314400,47.112100,30720.692700,133.685600,106.277000,0.632732,0.129429,0.231861,0.367268,0.291970
365,2,230.963000,47.286200,30889.323700,134.037000,106.646400,0.632775,0.129551,0.231858,0.367225,0.292182
366,2,231.514700,47.376000,31087.154900,134.485300,106.915100,0.632554,0.129443,0.232070,0.367446,0.292118
367,2,232.132800,47.534200,31250.866500,134.867200,107.255800,0.632514,0.129521,0.232022,0.367486,0.292250
368,2,232.845400,47.688400,31399.988500,135.154600,107.460000,0.632732,0.129588,0.231864,0.367268,0.292011
369,2,233.523200,47.839700,31555.469400,135.476800,107.793100,0.632854,0.129647,0.231751,0.367146,0.292122
370,2,233.994500,47.828800,31785.504800,136.005500,108.072300,0.632418,0.129267,0.232180,0.367582,0.292087
371,2,234.711500,47.989800,31931.195900,136.288500,108.344700,0.632646,0.129353,0.231989,0.367354,0.292034
372,2,235.388200,48.125600,32094.905000,136.611800,108.604600,0.632764,0.129370,0.231926,0.367236,0.291948
373,2,235.919300,48.371700,32291.842300,137.080700,109.018100,0.632491,0.129683,0.232100,0.367509,0.292274
374,2,236.638800,48.409800,32439.663600,137.361200,109.161000,0.632724,0.129438,0.231917,0.367276,0.291874
375,2,237.178200,48.522400,32634.106300,137.821800,109.554000,0.632475,0.129393,0.232065,0.367525,0.292144
376,2,237.763500,48.707500,32822.895700,138.236500,109.897600,0.632350,0.129541,0.232167,0.367650,0.292281
377,2,238.443000,48.859900,32988.569800,138.557000,110.179500,0.632475,0.129602,0.232103,0.367525,0.292253
378,2,239.191500,48.984400,33124.864100,138.808500,110.346600,0.632782,0.129588,0.231830,0.367218,0.291922
379,2,239.805300,49.117300,33304.943900,139.194700,110.703500,0.632732,0.129597,0.231862,0.367268,0.292094
380,2,240.445600,49.243700,33486.734400,139.554400,111.001400,0.632752,0.129589,0.231903,0.367248,0.292109
381,2,240.898900,49.341000,33714.884700,140.101100,111.354600,0.632281,0.129504,0.232259,0.367719,0.292269
382,2,241.597200,49.404600,33864.687800,140.402800,111.559000,0.632453,0.129331,0.232071,0.367547,0.292039
383,2,242.224200,49.593200,34044.846900,140.775800,111.907900,0.632439,0.129486,0.232089,0.367561,0.292188
384,2,242.929900,49.753700,34207.390100,141.070100,112.108900,0.632630,0.129567,0.231984,0.367370,0.291950
385,2,243.543400,50.019800,34398.123400,141.456600,112.503600,0.632580,0.129922,0.232067,0.367420,0.292217
386,2,244.264800,49.993300,34536.760400,141.735200,112.688800,0.632810,0.129516,0.231797,0.367190,0.291940
387,2,244.905800,50.120500,34712.390800,142.094200,112.991800,0.632832,0.129510,0.231773,0.367168,0.291968
388,2,245.520300,50.183500,34904.255400,142.479700,113.270700,0.632784,0.129339,0.231854,0.367216,0.291935
389,2,246.056800,50.289300,35090.478000,142.943200,113.598900,0.632537,0.129278,0.231894,0.367463,0.292028
390,2,246.690500,50.449900,35294.280000,143.309500,113.873900,0.632540,0.129359,0.232047,0.367460,0.291984
391,2,247.205200,50.660700,35516.951700,143.794800,114.335400,0.632238,0.129567,0.232318,0.367762,0.292418
392,2,248.011000,50.680700,35631.879100,143.989000,114.440100,0.632681,0.129288,0.231882,0.367319,0.291939
393,2,248.634300,50.890900,35818.686800,144.365700,114.795600,0.632657,0.129493,0.231913,0.367343,0.292101
394,2,249.342800,50.913200,35976.332500,144.657200,114.911800,0.632850,0.129221,0.231753,0.367150,0.291654
395,2,249.869800,51.091600,36189.522500,145.130200,115.388100,0.632582,0.129346,0.231947,0.367418,0.292122
396,2,250.607400,51.269200,36345.493200,145.392600,115.553100,0.632847,0.129468,0.231772,0.367153,0.291801
397,2,251.219400,51.457500,36541.705700,145.780600,115.908200,0.632794,0.129616,0.231850,0.367206,0.291960
398,2,251.726700,51.619300,36752.479300,146.273300,116.285700,0.632479,0.129697,0.232017,0.367521,0.292175
399,2,252.408900,51.752100,36950.124200,146.591100,116.640000,0.632604,0.129705,0.232097,0.367396,0.292331
400,2,253.086000,51.871600,37114.606600,146.914000,116.868700,0.632715,0.129679,0.231966,0.367285,0.292172
401,2,253.756400,51.920400,37281.667500,147.243600,117.066800,0.632809,0.129477,0.231850,0.367191,0.291937
402,2,254.306800,52.041900,37490.115300,147.693200,117.440900,0.632604,0.129457,0.231988,0.367396,0.292142
403,2,254.871100,52.232900,37701.492300,148.128900,117.857200,0.632434,0.129610,0.232139,0.367566,0.292450
404,2,255.568000,52.419300,37868.985000,148.432000,118.014900,0.632594,0.129751,0.232018,0.367406,0.292116
405,2,256.180300,52.540300,38055.912700,148.819700,118.338800,0.632544,0.129729,0.232013,0.367456,0.292195
406,2,256.932300,52.699900,38221.343500,149.067700,118.606800,0.632838,0.129803,0.231875,0.367162,0.292135
407,2,257.327400,52.764100,38492.145200,149.672600,118.981800,0.632254,0.129642,0.232372,0.367746,0.292339
408,2,258.076300,52.856200,38621.959700,149.923700,119.184800,0.632540,0.129550,0.232014,0.367460,0.292120
409,2,258.708500,52.943300,38817.606100,150.291500,119.477700,0.632539,0.129446,0.232050,0.367461,0.292122
410,2,259.414200,53.184600,38989.025300,150.585800,119.790900,0.632718,0.129719,0.231939,0.367282,0.292173
411,2,260.104800,53.190900,39146.062400,150.895200,119.943700,0.632858,0.129418,0.231742,0.367142,0.291834
412,2,260.618300,53.344200,39382.246700,151.381700,120.330300,0.632569,0.129476,0.232010,0.367431,0.292064
413,2,261.285900,53.473700,39564.589800,151.714100,120.624000,0.632654,0.129476,0.231957,0.367346,0.292068
414,2,261.828300,53.713500,39777.438600,152.171700,121.021600,0.632436,0.129743,0.232079,0.367564,0.292323
415,2,262.492300,53.732500,39961.312900,152.507700,121.309800,0.632512,0.129476,0.232030,0.367488,0.292313
416,2,263.098100,53.960200,40176.681000,152.901900,121.538000,0.632447,0.129712,0.232160,0.367553,0.292159
417,2,263.807200,54.038100,40335.053700,153.192800,121.855500,0.632631,0.129588,0.231959,0.367369,0.292219
418,2,264.359800,54.238000,40551.029100,153.640200,122.155000,0.632440,0.129756,0.232086,0.367560,0.292237
419,2,264.970000,54.314200,40765.643100,154.030000,122.486200,0.632387,0.129628,0.232202,0.367613,0.292330
420,2,265.650200,54.461700,40933.359100,154.349800,122.673400,0.632500,0.129671,0.232049,0.367500,0.292080
421,2,266.343700,54.598200,41115.994800,154.656300,122.933200,0.632645,0.129687,0.231978,0.367355,0.292003
422,2,266.841100,54.676200,41354.301500,155.158900,123.431300,0.632325,0.129564,0.232218,0.367675,0.292491
423,2,267.485100,54.838300,41548.346700,155.514900,123.642500,0.632352,0.129641,0.232206,0.367648,0.292299
424,2,268.154400,54.930200,41723.828900,155.845600,123.950100,0.632440,0.129552,0.232088,0.367560,0.292335
425,2,268.873800,55.146800,41915.841300,156.126200,124.175600,0.632644,0.129757,0.232060,0.367356,0.292178
426,2,269.442500,55.231400,42128.593200,156.557500,124.439800,0.632494,0.129651,0.232144,0.367506,0.292112
427,2,270.084000,55.420900,42312.046000,156.916000,124.839400,0.632515,0.129791,0.232064,0.367485,0.292364
428,2,270.757700,55.467400,42497.196800,157.242300,125.019900,0.632611,0.129597,0.231992,0.367389,0.292103
429,2,271.351400,55.590000,42711.238100,157.648600,125.338100,0.632521,0.129580,0.232075,0.367479,0.292163
430,2,272.031700,55.799000,42885.312600,157.968300,125.642300,0.632632,0.129765,0.231938,0.367368,0.292191
431,2,272.627900,55.834800,43109.041500,158.372100,125.886600,0.632547,0.129547,0.232067,0.367453,0.292080
432,2,273.241200,56.004000,43306.578000,158.758800,126.229400,0.632503,0.129639,0.232053,0.367497,0.292198
433,2,273.819100,56.227600,43532.017900,159.180900,126.605600,0.632377,0.129856,0.232184,0.367623,0.292392
434,2,274.453200,56.299100,43731.281700,159.546800,126.868400,0.632381,0.129721,0.232174,0.367619,0.292324
435,2,275.135000,56.314100,43920.035900,159.865000,127.033400,0.632494,0.129458,0.232105,0.367506,0.292031
436,2,275.749600,56.480400,44121.155700,160.250400,127.467900,0.632453,0.129542,0.232099,0.367547,0.292358
437,2,276.442300,56.644600,44303.246200,160.557700,127.697500,0.632591,0.129622,0.231992,0.367409,0.292214
438,2,277.028100,56.709900,44523.105300,160.971900,127.975400,0.632484,0.129475,0.232080,0.367516,0.292181
439,2,277.729600,56.887600,44710.447700,161.270400,128.236700,0.632641,0.129585,0.231996,0.367359,0.292111
440,2,278.258200,57.000700,44948.517700,161.741800,128.543600,0.632405,0.129547,0.232172,0.367595,0.292145
441,2,278.946800,57.114800,45116.813600,162.053200,128.802100,0.632532,0.129512,0.231986,0.367468,0.292068
442,2,279.500600,57.284800,45358.521000,162.499400,129.183900,0.632354,0.129604,0.232174,0.367646,0.292271
443,2,280.230000,57.494400,45540.321300,162.770000,129.380200,0.632573,0.129784,0.232054,0.367427,0.292055
444,2,280.770100,57.412400,45768.486800,163.229900,129.704600,0.632365,0.129307,0.232167,0.367635,0.292127
445,2,281.432500,57.758300,45977.667300,163.567500,130.056200,0.632433,0.129794,0.232181,0.367567,0.292261
446,2,281.990100,57.829100,46211.986100,164.009900,130.456200,0.632265,0.129662,0.232319,0.367735,0.292503
447,2,282.882700,58.011000,46329.385200,164.117300,130.551900,0.632847,0.129779,0.231868,0.367153,0.292062
448,2,283.427500,58.054600,46559.750800,164.572500,130.841600,0.632651,0.129586,0.231982,0.367349,0.292057
449,2,283.914500,58.067700,46813.641600,165.085500,131.155700,0.632326,0.129327,0.232209,0.367674,0.292106
450,2,284.598900,58.366500,46995.864900,165.401100,131.518200,0.632442,0.129703,0.232078,0.367558,0.292263
451,2,285.281000,58.507200,47200.561700,165.719000,131.752000,0.632552,0.129728,0.232057,0.367448,0.292133
452,2,285.995300,58.527900,47382.947400,166.004700,131.981600,0.632733,0.129487,0.231924,0.367267,0.291995
453,2,286.544300,58.702000,47612.844100,166.455700,132.282000,0.632548,0.129585,0.232021,0.367452,0.292013
454,2,287.218300,58.877700,47815.339200,166.781700,132.599200,0.632639,0.129687,0.231983,0.367361,0.292069
455,2,287.719100,58.888300,48063.112700,167.280900,132.865900,0.632350,0.129425,0.232161,0.367650,0.292013
456,2,288.458800,59.107900,48232.157100,167.541200,133.150700,0.632585,0.129623,0.231957,0.367415,0.291997
457,2,289.046500,59.221400,48466.676400,167.953500,133.578600,0.632487,0.129587,0.232066,0.367513,0.292295
458,2,289.720200,59.323500,48669.325300,168.279800,133.810400,0.632577,0.129527,0.232019,0.367423,0.292162
459,2,290.383700,59.541800,48882.910100,168.616300,134.078700,0.632644,0.129721,0.232023,0.367356,0.292110
460,2,291.013400,59.624000,49094.266300,168.986600,134.442700,0.632638,0.129617,0.232014,0.367362,0.292267
461,2,291.737900,59.787400,49261.550900,169.262100,134.624900,0.632837,0.129691,0.231796,0.367163,0.292028
462,2,292.283500,59.985700,49522.564800,169.716500,135.011500,0.632648,0.129839,0.232017,0.367352,0.292233
463,2,292.935500,60.040900,49723.422400,170.064500,135.225500,0.632690,0.129678,0.231952,0.367310,0.292064
464,2,293.378100,60.104000,50005.192900,170.621900,135.623400,0.632280,0.129534,0.232263,0.367720,0.292292
465,2,294.251200,60.266500,50149.560400,170.748800,135.709200,0.632798,0.129605,0.231932,0.367202,0.291848
466,2,294.724800,60.409700,50400.473700,171.275200,136.148300,0.632457,0.129635,0.232093,0.367543,0.292164
467,2,295.370900,60.597100,50620.185600,171.629100,136.453300,0.632486,0.129758,0.232108,0.367514,0.292191
468,2,295.865000,60.590200,50894.087900,172.135000,136.759500,0.632190,0.129466,0.232368,0.367810,0.292221
469,2,296.689400,60.767300,51024.741400,172.310600,137.006400,0.632600,0.129568,0.231972,0.367400,0.292125
470,2,297.260600,60.984700,51281.334900,172.739400,137.364500,0.632469,0.129755,0.232147,0.367531,0.292265
471,2,297.861100,61.016700,51498.149100,173.138900,137.675200,0.632401,0.129547,0.232140,0.367599,0.292304
472,2,298.519000,61.203500,51722.098700,173.481000,137.958800,0.632456,0.129668,0.232163,0.367544,0.292286
473,2,299.211000,61.326700,51901.738800,173.789000,138.175600,0.632581,0.129655,0.231985,0.367419,0.292126
474,2,299.831900,61.400600,52131.047400,174.168100,138.359700,0.632557,0.129537,0.232028,0.367443,0.291898
475,2,300.465700,61.535300,52363.756200,174.534300,138.782000,0.632559,0.129548,0.232083,0.367441,0.292173
476,2,301.108000,61.756800,52592.200500,174.892000,139.086400,0.632580,0.129741,0.232117,0.367420,0.292198
477,2,301.704900,61.788000,52815.646800,175.295100,139.221700,0.632505,0.129535,0.232127,0.367495,0.291869
478,2,302.235300,61.973900,53060.008200,175.764700,139.714400,0.632291,0.129653,0.232226,0.367709,0.292290
479,2,303.079500,62.026200,53200.129700,175.920500,139.894600,0.632734,0.129491,0.231868,0.367266,0.292056
480,2,303.564800,62.390200,53506.224600,176.435200,140.306800,0.632427,0.129980,0.232232,0.367573,0.292306
481,2,304.156300,62.321400,53732.585400,176.843700,140.459400,0.632342,0.129566,0.232246,0.367658,0.292015
482,2,304.867500,62.490100,53931.982200,177.132500,140.815600,0.632505,0.129648,0.232141,0.367495,0.292149
483,2,305.532500,62.617700,54134.910800,177.467500,141.104200,0.632572,0.129643,0.232051,0.367428,0.292141
484,2,306.164500,62.727700,54353.326400,177.835500,141.388100,0.632571,0.129603,0.232025,0.367429,0.292124
485,2,306.882800,62.856200,54569.119500,178.117200,141.579200,0.632748,0.129600,0.231987,0.367252,0.291916
486,2,307.381200,63.087500,54820.121600,178.618800,142.084000,0.632472,0.129810,0.232096,0.367528,0.292354
487,2,308.011700,63.179300,55061.975800,178.988300,142.306900,0.632468,0.129732,0.232163,0.367532,0.292211
488,2,308.752900,63.162100,55218.467900,179.247100,142.488500,0.632690,0.129431,0.231870,0.367310,0.291985
489,2,309.305400,63.309000,55497.464200,179.694600,142.838600,0.632526,0.129466,0.232089,0.367474,0.292103
490,2,309.941200,63.522900,55718.503300,180.058800,143.153400,0.632533,0.129639,0.232064,0.367467,0.292150
491,2,310.557000,63.642100,55955.044500,180.443000,143.508100,0.632499,0.129617,0.232101,0.367501,0.292277
492,2,311.213000,63.806800,56177.813800,180.787000,143.734600,0.632547,0.129689,0.232078,0.367453,0.292143
493,2,311.820400,63.842300,56416.453800,181.179600,143.973200,0.632496,0.129498,0.232120,0.367504,0.292035
494,2,312.365100,64.061100,56674.361200,181.634900,144.428400,0.632318,0.129678,0.232238,0.367682,0.292365
495,2,313.079800,64.199800,56884.762700,181.920200,144.582600,0.632484,0.129697,0.232159,0.367516,0.292086
496,2,313.828900,64.378500,57052.308000,182.171100,144.865800,0.632720,0.129795,0.231905,0.367280,0.292068
497,2,314.288200,64.490700,57350.316800,182.711800,145.298500,0.632371,0.129760,0.232179,0.367629,0.292351
498,2,314.976100,64.446800,57562.542400,183.023900,145.463100,0.632482,0.129411,0.232103,0.367518,0.292095
499,2,315.603600,64.656400,57790.432900,183.396400,145.774900,0.632472,0.129572,0.232089,0.367528,0.292134
500,2,316.150100,64.863300,58070.481700,183.849900,146.135900,0.632300,0.129727,0.232282,0.367700,0.292272
