i,|B_i|/n
1,1.0000000000000005551115123125782702118158340454101562500000
2,0.36597149999999994962607274828769732266664505004882812500000
3,0.20276260000000000810471689760561275761574506759643554687500
4,0.13342920000000001168327656841938733123242855072021484375000
5,0.09646649999999999669508810029583401046693325042724609375000
6,0.07407449999999999451505416914187662769109010696411132812500
7,0.05925709999999999831599151178807005635462701320648193359375
8,0.04882929999999999735871281103527508093975484371185302734375
9,0.04112440000000000192570404067282652249559760093688964843750
10,0.03534809999999999775149861491740921337623149156570434570312
11,0.03077309999999999767794633953599259257316589355468750000000
12,0.02710560000000000312886383468935491691809147596359252929688
13,0.02411139999999999984636733785237083793617784976959228515625
14,0.02161129999999999821980178893454649369232356548309326171875
15,0.01953400000000000101552100062463068752549588680267333984375
16,0.01774709999999999872691280877745612087892368435859680175781
17,0.01619490000000000122157284287993661564541980624198913574219
18,0.01485849999999999931227234739594678103458136320114135742188
19,0.01368669999999999782602788656049597193486988544464111328125
20,0.01264640000000000034929836800756675074808299541473388671875
21,0.01173379999999999909188197477760695619508624076843261718750
22,0.01090379999999999951695861533096376660978421568870544433594
23,0.01017090000000000007962519532611622707918286323547363281250
24,0.00949030000000000012461143228392757009714841842651367187500
25,0.00888259999999999982737974857371909820358268916606903076172
26,0.00833030000000000011781131625809848628705367445945739746094
27,0.00781170000000000084791618171209393040044233202934265136719
28,0.00733599999999999942239259365095449538785032927989959716797
29,0.00690100000000000023299417950539691446465440094470977783203
30,0.00649900000000000021942170302935437575797550380229949951172
31,0.00612079999999999980857257053656894640880636870861053466797
32,0.00576220000000000009098000131047001559636555612087249755859
33,0.00542579999999999972037922901790807372890412807464599609375
34,0.00511300000000000014026280137358071442577056586742401123047
35,0.00481780000000000012058687381966137763811275362968444824219
36,0.00454610000000000040107361876096092601073905825614929199219
37,0.00428590000000000014793860581008289045712444931268692016602
38,0.00404800000000000027421814818850975825625937432050704956055
39,0.00383160000000000010994538612862925219815224409103393554688
40,0.00361129999999999979666542859746414251276291906833648681641
41,0.00341059999999999963454094809023331436037551611661911010742
42,0.00321470000000000023961110873216284744557924568653106689453
43,0.00303409999999999996974503480018370282778050750494003295898
44,0.00286070000000000030856983634919288306264206767082214355469
45,0.00269420000000000032722158316289551294175907969474792480469
46,0.00253909999999999986403098617415707849431782960891723632812
47,0.00238009999999999979393427995688625742332078516483306884766
48,0.00223770000000000007312275784876476336648920550942420959473
49,0.00209830000000000015418152865542822382849408313632011413574
50,0.00196859999999999982049636582104312765295617282390594482422
51,0.00185179999999999985458090656642582416679942980408668518066
52,0.00173460000000000009578310367075459907937329262495040893555
53,0.00162689999999999975474965219213174805190647020936012268066
54,0.00152530000000000004987954493884672046988271176815032958984
55,0.00142690000000000004332090242087360820733010768890380859375
56,0.00133740000000000003625363897974409610469592735171318054199
57,0.00125089999999999983105666845339953852089820429682731628418
58,0.00117020000000000001078546973953820042879669927060604095459
59,0.00109430000000000000903201125002084381776512600481510162354
60,0.00102159999999999997664056061719151102806790731847286224365
61,0.00095219999999999986183170375131368246002239175140857696533
62,0.00088190000000000007751230213237647603818913921713829040527
63,0.00082330000000000006258812912385280924354447051882743835449
64,0.00076870000000000000936646593618917222556774504482746124268
65,0.00071669999999999996513275202225656812515808269381523132324
66,0.00066699999999999994969995809057650149043183773756027221680
67,0.00062049999999999990362917201558445867703994736075401306152
68,0.00057500000000000001739060284666749112147954292595386505127
69,0.00053299999999999994517579926522898858820553869009017944336
70,0.00049350000000000000149099482760206569764704909175634384155
71,0.00045900000000000004381564555622219359065638855099678039551
72,0.00042410000000000002220740952241229138053313363343477249146
73,0.00039100000000000001724662079816141613264335319399833679199
74,0.00036380000000000000661901089493710514943813905119895935059
75,0.00033619999999999999982115000962679118856613058596849441528
76,0.00031120000000000000201123839804751014526118524372577667236
77,0.00028760000000000002467852311394125308652292005717754364014
78,0.00026580000000000003011193724922200942728522932156920433044
79,0.00024539999999999998825991193163176262714841868728399276733
80,0.00022650000000000001674962252229406090009433683007955551147
81,0.00020840000000000000369851718695635156564094359055161476135
82,0.00019109999999999998298791381579064818652113899588584899902
83,0.00017479999999999998658425579001196581430122023448348045349
84,0.00016059999999999998701507436527080585619842167943716049194
85,0.00014829999999999998619524405052416682337934616953134536743
86,0.00013430000000000000165184706191201513547639478929340839386
87,0.00012149999999999998867854407447186559920737636275589466095
88,0.00010960000000000000096962368689723632542154518887400627136
89,0.00010139999999999999477618382870414137642001151107251644135
90,0.00009219999999999999815711651529603898325149202719330787659
91,0.00008409999999999999100623940262444477866665692999958992004
92,0.00007690000000000000911974488981837083656500908546149730682
93,0.00006989999999999999990738745042628821124708338174968957901
94,0.00006400000000000000557420862939972394656251708511263132095
95,0.00005900000000000000262409451806666638162823801394551992416
96,0.00005390000000000000063141766121210807227726036217063665390
97,0.00004959999999999999944957224107255910894309636205434799194
98,0.00004549999999999999635285231197601163444232952315360307693
99,0.00004159999999999999981158734646546903945818485226482152939
100,0.00003679999999999999918176346244691465869891544571146368980
101,0.00003310000000000000072562398797937355254816793603822588921
102,0.00002930000000000000322692176799033170198072184575721621513
103,0.00002550000000000000149305481172978815607166325207799673080
104,0.00002300000000000000001799775606325937360452371649444103241
105,0.00002079999999999999990579367323273451972909242613241076469
106,0.00001869999999999999883615233592371041027035971637815237045
107,0.00001669999999999999892665611227193789289913183893077075481
108,0.00001480000000000000017730500227741696761540879379026591778
109,0.00001359999999999999896105784720490294859018831630237400532
110,0.00001280000000000000026780877862564445024418091634288430214
111,0.00001230000000000000081983031474663903281907550990581512451
112,0.00001120000000000000076372827333137660588135986472479999065
113,0.00000960000000000000125964776803710876151853881310671567917
114,0.00000860000000000000024610847214334707899752174853347241879
115,0.00000810000000000000079813000826434166157241634209640324116
116,0.00000689999999999999958188285319182764254719586460851132870
117,0.00000589999999999999962713474136594138386158192588482052088
118,0.00000540000000000000017915627748693596643647651944775134325
119,0.00000519999999999999997644841830818362993227310653310269117
120,0.00000499999999999999977374055912943129342806969361845403910
121,0.00000439999999999999969501257362711199583316101779928430915
122,0.00000400000000000000034838803933748274666015731781953945756
123,0.00000370000000000000004432625056935424190385219844756647944
124,0.00000309999999999999996559826506703494430894352262839674950
125,0.00000289999999999999976289040588828260780474010971374809742
126,0.00000249999999999999988687027956471564671403484680922701955
127,0.00000229999999999999994886021640293216616868221535696648061
128,0.00000219999999999999984750628681355599791658050889964215457
129,0.00000219999999999999984750628681355599791658050889964215457
130,0.00000200000000000000017419401966874137333007865890976972878
131,0.00000169999999999999987013223090061286857377353953779675066
132,0.00000140000000000000009546603416642207573516998309059999883
133,0.00000120000000000000015745597100463859518981735163833945990
134,0.00000120000000000000015745597100463859518981735163833945990
135,0.00000100000000000000008709700983437068666503932945488486439
136,0.00000080000000000000001673804866410277814026130727143026888
137,0.00000070000000000000004773301708321103786758499154529999942
138,0.00000070000000000000004773301708321103786758499154529999942
139,0.00000060000000000000007872798550231929759490867581916972995
140,0.00000040000000000000000836902433205138907013065363571513444
141,0.00000030000000000000003936399275115964879745433790958486497
142,0.00000030000000000000003936399275115964879745433790958486497
143,0.00000030000000000000003936399275115964879745433790958486497
144,0.00000030000000000000003936399275115964879745433790958486497
145,0.00000030000000000000003936399275115964879745433790958486497
146,0.00000020000000000000000418451216602569453506532681785756722
147,0.00000020000000000000000418451216602569453506532681785756722
148,0.00000020000000000000000418451216602569453506532681785756722
149,0.00000020000000000000000418451216602569453506532681785756722
150,0.00000010000000000000000209225608301284726753266340892878361
151,0.00000010000000000000000209225608301284726753266340892878361
152,0.00000010000000000000000209225608301284726753266340892878361
153,0.00000010000000000000000209225608301284726753266340892878361
154,0.00000000000000000000000000000000000000000000000000000000000
