i,|B_i|/n
1,1.000000000000000020816681711721685132943093776702880859375
2,0.367695000000000022689905510020480505772866308689117431641
3,0.205499099999999971892516992255650620791129767894744873047
4,0.136444100000000003705333262438159636076306924223899841309
5,0.099562200000000007052598782752994566180859692394733428955
6,0.077170900000000003425906780485377112199785187840461730957
7,0.062291899999999999007482820445602555992081761360168457031
8,0.051742000000000000286496520951473598870506975799798965454
9,0.043956199999999997682885444216793757732375524938106536865
10,0.038090000000000002924448877505980703972454648464918136597
11,0.033452899999999999498291602950672540828236378729343414307
12,0.029746099999999996296110721383243458149081561714410781860
13,0.026722600000000000595567345440528583822015207260847091675
14,0.024178099999999998106613857684621393673296552151441574097
15,0.022054899999999997835080367547533342076349072158336639404
16,0.020211899999999998709396611951127908923808718100190162659
17,0.018659499999999999816837487065512846129422541707754135132
18,0.017290900000000000756930629286500789021374657750129699707
19,0.016082300000000000165124164341889922980044502764940261841
20,0.015038599999999998621308047730416035392408957704901695251
21,0.014084699999999999165387933042214996248731040395796298981
22,0.013269400000000000381457539166962789067838457413017749786
23,0.012507499999999998409631538076602907949563814327120780945
24,0.011843499999999999346004045386315794985421234741806983948
25,0.011218599999999999620027384128473357804978149943053722382
26,0.010655900000000000755421419862400966849236283451318740845
27,0.010146299999999999739172355794902813386215711943805217743
28,0.009679200000000000433594826709793323971098288893699645996
29,0.009251599999999999648686750675086187811757554300129413605
30,0.008856200000000000012380547975698874552108463831245899200
31,0.008479099999999999845109489859940055112019763328135013580
32,0.008142000000000000988929424461382211575255496427416801453
33,0.007825300000000001124280529785082194393908139318227767944
34,0.007523000000000000647422220001470094530304777435958385468
35,0.007243099999999999312352925301405903724116797093302011490
36,0.006987599999999998963396384554780382813987671397626399994
37,0.006746700000000000134838581272722635162608639802783727646
38,0.006522199999999999997296259990342548462649574503302574158
39,0.006312700000000000563171297790487912493517796974629163742
40,0.006115500000000000147307947090391522237950994167476892471
41,0.005925999999999999674662586740536696083836432080715894699
42,0.005743700000000000589978413345626506725238868966698646545
43,0.005572000000000000184078446929802908016426954418420791626
44,0.005415600000000000292376279437123187676661473233252763748
45,0.005261899999999999544731017764309655149190803058445453644
46,0.005115200000000000593537632237461920681198535021394491196
47,0.004984500000000000303308159838033830624226538930088281631
48,0.004852599999999999922923980821831690946055459789931774139
49,0.004727799999999999864196912474634260092898330185562372208
50,0.004610799999999999967958963509317982243373990058898925781
51,0.004494899999999999942604592129136165112868184223771095276
52,0.004383399999999999400784531089492190858436515554785728455
53,0.004281900000000000457286639110598969182319706305861473083
54,0.004177699999999999828632999548938542488940584007650613785
55,0.004075699999999999788779462411847376301921030972152948380
56,0.003986200000000000052762742092093972701150050852447748184
57,0.003896899999999999908255332581319407836417667567729949951
58,0.003810899999999999799915129453098394662902137497439980507
59,0.003729600000000000256439097387484160606163641205057501793
60,0.003651299999999999667800410982354541999939101515337824821
61,0.003576300000000000385878351841228983687415166059508919716
62,0.003502499999999999923561578435426966393606562633067369461
63,0.003431700000000000110148045198710242686956917168572545052
64,0.003364099999999999690114115685757312235182325821369886398
65,0.003298999999999999669660728437992069927986449329182505608
66,0.003239100000000000463394210156731212180147849721834063530
67,0.003176199999999999761191504452084721776827791472896933556
68,0.003118299999999999858149883277813607662665162933990359306
69,0.003062200000000000090340322028703567980301158968359231949
70,0.003009300000000000139426838130507491086973459459841251373
71,0.002960099999999999831215655859972812891101057175546884537
72,0.002912500000000000066727222705620370390988682629540562630
73,0.002860099999999999941619963084171729406079975888133049011
74,0.002810599999999999822628340973018623571988428011536598206
75,0.002763099999999999853894563223155600439895351883023977280
76,0.002713799999999999749928725548131502876003651181235909462
77,0.002670199999999999862439507489209056245726969791576266289
78,0.002628799999999999716717444600555531053487356984987854958
